id	gender	deg	yrdeg	field	startyr	year	rank	admin	salary
36	"M"	"PhD"	67	"Prof"	73	95	"Full"	0	6684
37	"F"	"PhD"	93	"Other"	93	95	"Assist"	0	4292
39	"M"	"PhD"	59	"Prof"	95	95	"Full"	0	14464
40	"M"	"PhD"	62	"Other"	70	95	"Full"	0	7712
41	"M"	"PhD"	66	"Other"	66	95	"Full"	0	7361
42	"M"	"PhD"	88	"Prof"	88	95	"Assoc"	0	6684
44	"F"	"PhD"	95	"Other"	95	95	"Assist"	0	4292
45	"F"	"PhD"	69	"Arts"	83	95	"Assoc"	0	4353
46	"M"	"PhD"	77	"Arts"	87	95	"Full"	0	5394
47	"M"	"PhD"	68	"Other"	68	95	"Full"	0	5712
48	"M"	"PhD"	56	"Other"	90	95	"Full"	0	13086
49	"M"	"PhD"	71	"Other"	73	95	"Full"	0	5472
51	"M"	"PhD"	58	"Other"	62	95	"Full"	0	6496
52	"M"	"PhD"	81	"Other"	89	95	"Assoc"	0	7283
53	"M"	"PhD"	66	"Other"	66	95	"Full"	1	8283
54	"F"	"PhD"	92	"Other"	95	95	"Assist"	0	4875
55	"M"	"PhD"	91	"Other"	94	95	"Assist"	0	4676
56	"M"	"PhD"	93	"Other"	93	95	"Assist"	0	8232
58	"F"	"PhD"	74	"Other"	75	95	"Full"	0	7494
59	"F"	"PhD"	89	"Arts"	90	95	"Assist"	0	3774
60	"M"	"PhD"	79	"Other"	81	95	"Assoc"	0	5472
61	"M"	"PhD"	76	"Other"	84	95	"Full"	0	8283
62	"M"	"PhD"	72	"Other"	72	95	"Assoc"	0	4231
63	"M"	"PhD"	88	"Other"	90	95	"Assoc"	0	4610
64	"M"	"PhD"	64	"Other"	65	95	"Full"	0	9974
65	"M"	"PhD"	70	"Prof"	85	95	"Full"	0	10411
66	"M"	"PhD"	75	"Prof"	77	95	"Full"	0	8165
67	"M"	"PhD"	68	"Other"	88	95	"Full"	0	13275
68	"M"	"PhD"	77	"Other"	83	95	"Full"	0	9128
69	"M"	"PhD"	81	"Other"	81	95	"Assoc"	0	4544
70	"F"	"PhD"	83	"Other"	87	95	"Assoc"	0	4474
71	"M"	"PhD"	61	"Other"	63	95	"Assoc"	0	4231
72	"M"	"PhD"	88	"Prof"	88	95	"Assoc"	0	6404
73	"M"	"PhD"	73	"Other"	73	95	"Assoc"	0	4875
74	"M"	"PhD"	71	"Other"	72	95	"Full"	0	7180
75	"M"	"PhD"	72	"Other"	71	95	"Full"	0	10442
76	"M"	"PhD"	57	"Other"	65	95	"Full"	0	7823
77	"M"	"PhD"	60	"Other"	65	95	"Full"	0	9420
78	"M"	"PhD"	72	"Other"	83	95	"Assoc"	0	5236
81	"M"	"PhD"	64	"Other"	64	95	"Assoc"	0	4544
82	"M"	"PhD"	65	"Other"	69	95	"Full"	1	7180
83	"M"	"PhD"	67	"Prof"	84	95	"Full"	0	10118
84	"M"	"PhD"	82	"Arts"	83	95	"Full"	0	5712
86	"F"	"PhD"	94	"Other"	94	95	"Assist"	0	4610
88	"M"	"PhD"	57	"Other"	61	95	"Full"	0	7494
89	"M"	"PhD"	58	"Other"	69	95	"Full"	0	8283
90	"M"	"PhD"	70	"Other"	88	95	"Full"	1	7239
91	"M"	"PhD"	61	"Other"	69	95	"Full"	0	4881
92	"M"	"PhD"	68	"Other"	71	95	"Full"	0	8867
93	"F"	"PhD"	65	"Other"	65	95	"Full"	0	7712
94	"M"	"PhD"	64	"Prof"	58	95	"Full"	0	6223
95	"M"	"PhD"	72	"Other"	86	95	"Full"	0	8283
96	"F"	"PhD"	80	"Other"	81	95	"Assoc"	0	4544
97	"M"	"PhD"	75	"Other"	85	95	"Full"	0	9694
98	"M"	"PhD"	81	"Other"	84	95	"Assoc"	1	6223
99	"M"	"PhD"	90	"Arts"	90	95	"Assist"	0	3939
100	"M"	"PhD"	74	"Arts"	75	95	"Full"	1	5794
101	"F"	"PhD"	74	"Other"	81	95	"Assoc"	0	5088
102	"M"	"PhD"	73	"Other"	72	95	"Full"	0	9025
103	"M"	"PhD"	66	"Prof"	68	95	"Full"	0	8076
104	"M"	"PhD"	67	"Other"	69	95	"Full"	1	9143
105	"M"	"PhD"	63	"Prof"	79	95	"Full"	0	5624
106	"M"	"PhD"	60	"Other"	66	95	"Full"	0	10263
107	"M"	"PhD"	79	"Other"	81	95	"Full"	0	9154
108	"M"	"PhD"	83	"Other"	83	95	"Assoc"	0	6590
109	"M"	"PhD"	86	"Other"	91	95	"Assoc"	0	3769
110	"M"	"PhD"	68	"Other"	72	95	"Full"	0	9286
111	"M"	"PhD"	81	"Arts"	84	95	"Full"	0	4812
112	"F"	"PhD"	65	"Other"	76	95	"Full"	0	5168
113	"M"	"PhD"	70	"Other"	69	95	"Assoc"	0	4416
114	"M"	"PhD"	81	"Other"	83	95	"Full"	0	7602
115	"M"	"PhD"	90	"Other"	93	95	"Assist"	0	4538
116	"F"	"PhD"	74	"Prof"	76	95	"Assoc"	0	6135
117	"M"	"PhD"	70	"Other"	75	95	"Full"	0	4743
118	"M"	"PhD"	81	"Arts"	83	95	"Assoc"	1	5095
119	"M"	"PhD"	66	"Other"	70	95	"Full"	0	7494
120	"F"	"PhD"	71	"Arts"	88	95	"Full"	0	6977
121	"M"	"PhD"	80	"Other"	87	95	"Full"	0	4881
122	"M"	"PhD"	80	"Other"	83	95	"Full"	0	6127
123	"M"	"PhD"	70	"Other"	93	95	"Full"	1	8402
124	"M"	"PhD"	91	"Prof"	92	95	"Assist"	0	7283
125	"M"	"PhD"	61	"Arts"	61	95	"Assoc"	0	3939
126	"M"	"PhD"	68	"Other"	71	95	"Full"	1	7823
127	"M"	"PhD"	72	"Prof"	72	95	"Full"	0	8896
128	"M"	"PhD"	75	"Other"	78	95	"Full"	0	4812
129	"M"	"PhD"	88	"Arts"	91	95	"Assist"	0	3774
130	"M"	"PhD"	77	"Prof"	85	95	"Full"	1	8049
131	"M"	"PhD"	78	"Other"	84	95	"Full"	1	9693
132	"F"	"PhD"	83	"Prof"	87	95	"Assoc"	1	6135
133	"M"	"PhD"	82	"Other"	84	95	"Full"	0	6496
134	"M"	"PhD"	69	"Prof"	75	95	"Full"	0	7388
135	"M"	"PhD"	81	"Other"	90	95	"Assoc"	0	6048
136	"F"	"PhD"	73	"Arts"	77	95	"Full"	0	5242
137	"M"	"PhD"	80	"Other"	88	95	"Full"	0	5962
138	"M"	"PhD"	90	"Other"	89	95	"Assoc"	0	5293
140	"F"	"PhD"	76	"Other"	85	95	"Assoc"	0	4416
141	"M"	"PhD"	67	"Prof"	92	95	"Full"	0	7813
142	"M"	"PhD"	73	"Arts"	77	95	"Full"	0	5022
143	"M"	"PhD"	85	"Other"	85	95	"Assoc"	0	4610
144	"F"	"PhD"	80	"Other"	86	95	"Assoc"	0	4165
145	"M"	"PhD"	84	"Other"	91	95	"Assoc"	0	5631
146	"F"	"PhD"	67	"Other"	57	95	"Full"	0	5551
147	"F"	"PhD"	69	"Other"	68	95	"Full"	1	6828
148	"F"	"PhD"	82	"Arts"	83	95	"Full"	0	6684
149	"F"	"PhD"	81	"Other"	87	95	"Assoc"	0	5544
150	"M"	"PhD"	81	"Arts"	87	95	"Full"	0	7823
152	"M"	"PhD"	88	"Prof"	88	95	"Assoc"	0	8049
153	"F"	"PhD"	86	"Other"	89	95	"Assist"	0	4053
154	"M"	"PhD"	91	"Other"	91	95	"Assist"	0	4353
155	"M"	"PhD"	77	"Other"	90	95	"Full"	0	5712
156	"F"	"PhD"	74	"Other"	76	95	"Full"	0	5962
157	"M"	"PhD"	87	"Other"	92	95	"Assist"	0	3663
158	"M"	"PhD"	87	"Prof"	89	95	"Assoc"	0	6223
159	"M"	"PhD"	70	"Other"	67	95	"Full"	0	7180
160	"M"	"PhD"	72	"Other"	95	95	"Full"	0	11672
161	"M"	"PhD"	72	"Prof"	70	95	"Assoc"	0	6135
162	"M"	"PhD"	77	"Other"	81	95	"Full"	0	6313
163	"M"	"PhD"	80	"Arts"	83	95	"Full"	0	6977
164	"M"	"PhD"	74	"Arts"	70	95	"Full"	1	6590
165	"M"	"PhD"	69	"Other"	70	95	"Full"	0	5318
166	"M"	"PhD"	61	"Other"	61	95	"Full"	0	7388
167	"M"	"PhD"	86	"Other"	84	95	"Assoc"	0	8691
168	"M"	"PhD"	60	"Other"	60	95	"Full"	0	5962
170	"M"	"PhD"	73	"Arts"	76	95	"Assoc"	0	4292
171	"M"	"PhD"	81	"Other"	92	95	"Assoc"	0	5162
172	"M"	"PhD"	73	"Other"	74	95	"Full"	0	6496
173	"F"	"PhD"	82	"Arts"	82	95	"Full"	0	4812
174	"M"	"PhD"	73	"Other"	67	95	"Full"	0	7935
177	"M"	"PhD"	82	"Other"	87	95	"Assoc"	0	5712
179	"M"	"PhD"	85	"Prof"	85	95	"Full"	0	6781
180	"M"	"PhD"	67	"Other"	67	95	"Full"	1	7712
181	"M"	"PhD"	70	"Prof"	73	95	"Full"	0	7602
183	"M"	"PhD"	78	"Prof"	78	95	"Assoc"	0	7388
184	"M"	"PhD"	90	"Prof"	93	95	"Assist"	0	6048
185	"M"	"PhD"	72	"Prof"	81	95	"Full"	0	7078
186	"M"	"PhD"	57	"Arts"	62	95	"Full"	0	7494
187	"M"	"PhD"	85	"Other"	88	95	"Full"	0	6772
188	"F"	"PhD"	73	"Other"	83	95	"Assoc"	0	4743
189	"M"	"PhD"	72	"Other"	75	95	"Full"	0	6313
190	"M"	"PhD"	86	"Other"	92	95	"Assist"	0	4676
191	"M"	"PhD"	71	"Other"	72	95	"Full"	0	5705
192	"M"	"PhD"	89	"Other"	93	95	"Assist"	0	3715
194	"M"	"PhD"	72	"Arts"	76	95	"Full"	0	6223
195	"M"	"PhD"	91	"Other"	94	95	"Assist"	0	4171
196	"F"	"PhD"	89	"Other"	91	95	"Assist"	0	4231
197	"M"	"PhD"	86	"Prof"	87	95	"Assoc"	0	6590
198	"M"	"PhD"	83	"Prof"	83	95	"Assoc"	0	5878
199	"M"	"PhD"	92	"Other"	95	95	"Assist"	0	4348
200	"M"	"PhD"	67	"Other"	86	95	"Full"	1	10342
201	"M"	"PhD"	69	"Arts"	69	95	"Full"	1	6781
202	"M"	"PhD"	75	"Prof"	91	95	"Assoc"	0	8230
203	"M"	"PhD"	75	"Other"	84	95	"Full"	0	9687
205	"M"	"PhD"	92	"Other"	92	95	"Assist"	0	8392
206	"M"	"PhD"	78	"Other"	81	95	"Full"	0	5472
207	"M"	"PhD"	71	"Prof"	84	95	"Full"	0	8646
208	"M"	"PhD"	63	"Other"	78	95	"Full"	0	10668
209	"M"	"PhD"	57	"Other"	61	95	"Full"	0	6135
210	"M"	"PhD"	62	"Other"	63	95	"Full"	0	6048
211	"M"	"PhD"	65	"Prof"	75	95	"Full"	0	6223
212	"F"	"PhD"	92	"Other"	92	95	"Assist"	0	4171
213	"F"	"PhD"	73	"Other"	91	95	"Assoc"	0	4225
214	"M"	"PhD"	71	"Arts"	71	95	"Full"	0	7180
215	"F"	"PhD"	94	"Arts"	94	95	"Assist"	0	3939
216	"M"	"PhD"	65	"Other"	92	95	"Full"	0	12344
217	"M"	"PhD"	69	"Prof"	86	95	"Full"	0	12901
218	"M"	"PhD"	85	"Other"	91	95	"Assist"	0	3509
219	"M"	"PhD"	64	"Other"	64	95	"Assoc"	0	4951
220	"F"	"PhD"	73	"Other"	73	95	"Full"	0	4875
221	"M"	"PhD"	85	"Other"	89	95	"Assoc"	0	4610
222	"F"	"PhD"	92	"Other"	94	95	"Assist"	0	3823.333
225	"M"	"PhD"	74	"Other"	79	95	"Full"	0	5962
227	"M"	"PhD"	86	"Prof"	92	95	"Assoc"	0	6404
228	"M"	"PhD"	72	"Other"	75	95	"Full"	0	6781
232	"M"	"PhD"	59	"Other"	60	95	"Full"	0	9421
233	"M"	"PhD"	71	"Prof"	76	95	"Full"	0	5794
234	"M"	"PhD"	63	"Other"	86	95	"Full"	0	9556
236	"F"	"PhD"	72	"Other"	74	95	"Full"	0	6977
237	"M"	"PhD"	95	"Other"	95	95	"Assist"	0	4225
238	"M"	"PhD"	63	"Arts"	62	95	"Full"	0	6135
239	"M"	"PhD"	70	"Other"	78	95	"Full"	0	6382
241	"F"	"PhD"	78	"Other"	88	95	"Assoc"	0	5242
242	"F"	"PhD"	93	"Prof"	93	95	"Assist"	0	4588
243	"M"	"PhD"	78	"Prof"	78	95	"Full"	0	7494
244	"M"	"PhD"	64	"Other"	67	95	"Full"	0	7180
245	"M"	"PhD"	71	"Prof"	87	95	"Full"	1	13258
246	"M"	"PhD"	73	"Other"	75	95	"Full"	0	8402
247	"M"	"PhD"	75	"Arts"	81	95	"Full"	0	6048
248	"M"	"PhD"	91	"Prof"	91	95	"Assist"	0	6223
249	"M"	"PhD"	74	"Other"	87	95	"Assoc"	0	5472
250	"F"	"PhD"	70	"Arts"	73	95	"Full"	0	6684
252	"M"	"PhD"	84	"Prof"	84	95	"Full"	0	8770
253	"F"	"PhD"	82	"Other"	92	95	"Assoc"	0	4812
254	"M"	"PhD"	55	"Other"	56	95	"Full"	0	11507
255	"M"	"PhD"	67	"Arts"	67	95	"Assist"	0	4292
256	"M"	"PhD"	67	"Other"	70	95	"Full"	0	4676
257	"F"	"PhD"	93	"Other"	93	95	"Assist"	0	5242
258	"F"	"PhD"	88	"Other"	95	95	"Assist"	0	5168
259	"F"	"PhD"	85	"Other"	91	95	"Assoc"	0	6048
260	"F"	"PhD"	89	"Other"	91	95	"Assist"	0	4112
261	"F"	"PhD"	70	"Other"	72	95	"Full"	0	6870
262	"M"	"PhD"	63	"Other"	74	95	"Full"	0	6123
264	"M"	"PhD"	58	"Prof"	53	95	"Full"	0	11343
265	"M"	"PhD"	75	"Other"	85	95	"Full"	0	7602
266	"M"	"PhD"	77	"Arts"	78	95	"Assoc"	0	4353
267	"M"	"PhD"	90	"Other"	91	95	"Assist"	0	3769
269	"M"	"PhD"	76	"Other"	80	95	"Full"	0	6496
270	"M"	"PhD"	76	"Prof"	83	95	"Assoc"	0	5794
271	"M"	"PhD"	75	"Other"	80	95	"Full"	0	5712
272	"M"	"PhD"	94	"Prof"	95	95	"Assist"	0	4445
273	"M"	"PhD"	78	"Arts"	80	95	"Assoc"	0	8283
275	"F"	"PhD"	90	"Prof"	90	95	"Assoc"	0	6048
276	"M"	"PhD"	71	"Other"	86	95	"Full"	0	10118
278	"F"	"PhD"	82	"Other"	81	95	"Assoc"	0	4292
279	"M"	"PhD"	88	"Prof"	92	95	"Assist"	0	4225
280	"M"	"PhD"	58	"Other"	66	95	"Full"	0	7823
281	"M"	"PhD"	57	"Other"	66	95	"Full"	0	9154
282	"M"	"PhD"	75	"Other"	77	95	"Assoc"	0	4231
283	"F"	"PhD"	82	"Other"	86	95	"Assoc"	0	4286
284	"F"	"PhD"	87	"Other"	88	95	"Assoc"	1	4544
286	"M"	"PhD"	86	"Prof"	88	95	"Assoc"	0	4676
287	"F"	"PhD"	59	"Prof"	59	95	"Full"	0	6404
288	"M"	"PhD"	70	"Prof"	91	95	"Full"	0	9681
289	"M"	"PhD"	85	"Other"	85	95	"Assoc"	0	7008
290	"F"	"PhD"	82	"Other"	91	95	"Assoc"	0	4165
291	"M"	"PhD"	78	"Prof"	81	95	"Full"	0	8646
292	"M"	"PhD"	88	"Other"	91	95	"Assist"	0	4106
293	"M"	"PhD"	84	"Other"	84	95	"Assoc"	0	4881
294	"F"	"PhD"	68	"Arts"	72	95	"Assoc"	0	5394
295	"M"	"PhD"	72	"Prof"	72	95	"Full"	0	8049
296	"M"	"PhD"	72	"Other"	80	95	"Full"	0	9693
297	"F"	"PhD"	85	"Other"	85	95	"Assoc"	0	4286
298	"M"	"PhD"	76	"Prof"	84	95	"Full"	1	8283
299	"F"	"PhD"	77	"Arts"	76	95	"Full"	1	6135
300	"M"	"PhD"	64	"Prof"	67	95	"Full"	0	8896
301	"F"	"PhD"	70	"Other"	73	95	"Assoc"	0	5022
302	"F"	"PhD"	58	"Arts"	68	95	"Full"	0	5551
303	"M"	"PhD"	77	"Other"	84	95	"Assoc"	0	5394
304	"M"	"PhD"	69	"Arts"	86	95	"Full"	0	6496
305	"M"	"PhD"	73	"Other"	70	95	"Full"	0	6977
306	"M"	"PhD"	70	"Other"	78	95	"Full"	0	7494
307	"F"	"PhD"	86	"Arts"	88	95	"Assoc"	0	4416
309	"F"	"PhD"	73	"Other"	75	95	"Full"	0	6781
310	"F"	"PhD"	82	"Other"	85	95	"Assoc"	0	4737
312	"F"	"PhD"	81	"Other"	86	95	"Full"	0	5551
313	"F"	"PhD"	88	"Other"	95	95	"Assist"	0	3823
314	"M"	"PhD"	93	"Other"	95	95	"Assist"	0	3878
315	"F"	"PhD"	81	"Arts"	85	95	"Full"	1	7379
316	"M"	"PhD"	75	"Other"	72	95	"Assoc"	0	4951
317	"M"	"PhD"	95	"Other"	94	95	"Assist"	0	4613
318	"M"	"PhD"	80	"Other"	80	95	"Assoc"	0	5962
319	"M"	"PhD"	85	"Other"	88	95	"Assoc"	0	4875
320	"M"	"PhD"	67	"Other"	69	95	"Full"	0	6977
321	"M"	"PhD"	89	"Other"	89	95	"Assoc"	0	4053
322	"F"	"PhD"	88	"Other"	93	95	"Assist"	0	5048
323	"M"	"PhD"	89	"Other"	94	95	"Assist"	0	3509
324	"M"	"PhD"	64	"Arts"	67	95	"Full"	1	8392
325	"M"	"PhD"	71	"Other"	75	95	"Full"	0	7180
327	"M"	"PhD"	65	"Other"	67	95	"Full"	0	5318
328	"M"	"PhD"	73	"Arts"	73	95	"Full"	0	5631
329	"M"	"PhD"	63	"Other"	69	95	"Full"	0	6135
330	"M"	"PhD"	89	"Prof"	89	95	"Assist"	0	5394
331	"M"	"PhD"	68	"Other"	68	95	"Full"	0	6684
332	"M"	"PhD"	75	"Prof"	83	95	"Assoc"	0	5794
333	"F"	"PhD"	89	"Other"	92	95	"Assist"	0	3996
334	"F"	"PhD"	92	"Other"	92	95	"Assist"	0	8432
336	"M"	"PhD"	78	"Other"	81	95	"Assoc"	0	5955
337	"M"	"PhD"	85	"Other"	88	95	"Assoc"	0	4544
338	"M"	"PhD"	65	"Other"	64	95	"Full"	0	9025
339	"M"	"PhD"	71	"Other"	79	95	"Full"	0	6772
340	"M"	"PhD"	68	"Prof"	76	95	"Full"	0	5472
341	"M"	"PhD"	77	"Prof"	77	95	"Full"	0	8896
342	"M"	"PhD"	53	"Other"	91	95	"Assist"	0	3459
344	"M"	"PhD"	71	"Other"	73	95	"Full"	0	5870
346	"M"	"PhD"	83	"Prof"	91	95	"Assist"	0	3362
347	"M"	"PhD"	86	"Other"	93	95	"Assist"	0	3769
348	"M"	"PhD"	61	"Prof"	67	95	"Full"	1	10411
349	"F"	"PhD"	59	"Other"	71	95	"Full"	0	7602
350	"M"	"PhD"	69	"Prof"	76	95	"Full"	0	8402
351	"M"	"PhD"	74	"Other"	71	95	"Full"	0	7796
353	"F"	"PhD"	83	"Prof"	84	95	"Assoc"	0	5242
354	"M"	"PhD"	68	"Other"	88	95	"Full"	0	9154
355	"M"	"PhD"	88	"Prof"	88	95	"Assist"	0	5705
356	"M"	"PhD"	72	"Other"	72	95	"Full"	0	6590
357	"F"	"PhD"	93	"Other"	92	95	"Assist"	0	6786
358	"M"	"PhD"	73	"Other"	73	95	"Assoc"	0	4951
359	"M"	"PhD"	83	"Arts"	84	95	"Assoc"	0	4676
360	"M"	"PhD"	83	"Prof"	87	95	"Full"	0	7180
361	"M"	"PhD"	72	"Other"	74	95	"Full"	0	5794
362	"M"	"PhD"	78	"Prof"	85	95	"Assoc"	0	6684
363	"F"	"PhD"	74	"Other"	76	95	"Assoc"	0	5095
364	"M"	"PhD"	71	"Other"	71	95	"Full"	0	5631
365	"M"	"PhD"	67	"Other"	73	95	"Full"	0	8049
366	"F"	"PhD"	91	"Other"	91	95	"Assist"	0	7391
367	"M"	"PhD"	94	"Other"	95	95	"Assist"	0	4480
368	"M"	"PhD"	79	"Other"	79	95	"Full"	0	6048
369	"M"	"PhD"	90	"Prof"	91	95	"Assist"	0	5631
370	"F"	"PhD"	93	"Arts"	93	95	"Assist"	0	3667
371	"F"	"PhD"	85	"Other"	87	95	"Assoc"	0	9558
372	"M"	"PhD"	58	"Other"	80	95	"Full"	0	11343
373	"M"	"PhD"	90	"Other"	91	95	"Assist"	0	4353
375	"M"	"PhD"	86	"Other"	91	95	"Assist"	0	3611
376	"F"	"PhD"	92	"Other"	91	95	"Assist"	0	4416
379	"M"	"PhD"	64	"Other"	68	95	"Assoc"	0	3996
380	"F"	"PhD"	74	"Other"	80	95	"Full"	0	5388
381	"F"	"PhD"	82	"Other"	82	95	"Assoc"	0	5474
382	"F"	"PhD"	92	"Other"	92	95	"Assist"	0	3769
383	"M"	"PhD"	81	"Other"	89	95	"Assoc"	0	4416
384	"M"	"PhD"	79	"Arts"	85	95	"Assoc"	0	4480
385	"F"	"PhD"	94	"Other"	94	95	"Assist"	0	4480
386	"M"	"PhD"	93	"Other"	93	95	"Assist"	0	4165
387	"F"	"PhD"	76	"Other"	79	95	"Full"	0	5465
388	"M"	"PhD"	83	"Other"	87	95	"Assoc"	0	4474
389	"M"	"PhD"	87	"Other"	94	95	"Assist"	0	5016
390	"M"	"PhD"	76	"Prof"	83	95	"Full"	0	7388
391	"F"	"PhD"	80	"Arts"	85	95	"Assoc"	1	4676
392	"F"	"PhD"	77	"Other"	78	95	"Assoc"	0	5388
393	"M"	"PhD"	88	"Prof"	90	95	"Assist"	0	5712
394	"M"	"PhD"	68	"Other"	80	95	"Full"	0	10118
395	"M"	"PhD"	86	"Other"	86	95	"Assoc"	0	8878
396	"M"	"PhD"	71	"Arts"	72	95	"Full"	0	5242
397	"F"	"PhD"	74	"Other"	74	95	"Full"	0	6781
398	"M"	"PhD"	81	"Other"	87	95	"Full"	0	5794
399	"M"	"PhD"	85	"Other"	87	95	"Assoc"	0	4165
403	"M"	"PhD"	83	"Other"	88	95	"Assoc"	0	5318
404	"M"	"PhD"	70	"Other"	66	95	"Full"	0	6817
405	"M"	"PhD"	74	"Prof"	75	95	"Full"	0	7935
406	"F"	"PhD"	92	"Other"	93	95	"Assist"	0	4225
407	"M"	"PhD"	79	"Other"	86	95	"Full"	0	6977
408	"M"	"PhD"	79	"Arts"	88	95	"Assoc"	0	4881
409	"M"	"PhD"	91	"Other"	91	95	"Assist"	0	5394
410	"M"	"PhD"	67	"Other"	72	95	"Full"	0	10411
411	"M"	"PhD"	73	"Other"	76	95	"Full"	1	8770
412	"M"	"PhD"	88	"Other"	94	95	"Assoc"	0	7712
415	"M"	"PhD"	77	"Other"	79	95	"Assoc"	0	4743
416	"M"	"PhD"	95	"Arts"	95	95	"Assist"	0	3996
417	"M"	"PhD"	70	"Other"	79	95	"Full"	0	5962
418	"M"	"PhD"	82	"Other"	91	95	"Full"	0	5705
419	"M"	"PhD"	78	"Prof"	78	95	"Full"	0	6977
420	"M"	"PhD"	84	"Other"	90	95	"Assoc"	0	5162
422	"F"	"PhD"	76	"Other"	76	95	"Full"	1	6465
423	"M"	"PhD"	90	"Other"	91	95	"Assist"	0	5236
424	"M"	"PhD"	92	"Other"	91	95	"Assist"	0	7286
425	"M"	"PhD"	79	"Other"	87	95	"Full"	0	5794
426	"M"	"PhD"	74	"Other"	87	95	"Full"	0	4737
427	"M"	"PhD"	92	"Prof"	91	95	"Assist"	0	6135
428	"M"	"PhD"	67	"Other"	67	95	"Full"	0	10000
429	"M"	"PhD"	60	"Arts"	60	95	"Assoc"	0	4610
430	"M"	"PhD"	69	"Prof"	75	95	"Full"	0	8463
431	"F"	"PhD"	88	"Other"	93	95	"Assist"	0	3042
432	"F"	"PhD"	83	"Other"	85	95	"Assoc"	0	6781
433	"F"	"PhD"	80	"Other"	86	95	"Assoc"	0	5242
434	"M"	"PhD"	82	"Other"	94	95	"Full"	0	7712
435	"M"	"PhD"	81	"Prof"	90	95	"Full"	1	10867
436	"M"	"PhD"	87	"Other"	87	95	"Assoc"	0	4670
437	"F"	"PhD"	92	"Other"	92	95	"Assist"	0	7966
438	"M"	"PhD"	77	"Prof"	76	95	"Full"	0	7388
439	"M"	"PhD"	94	"Prof"	95	95	"Assist"	0	5472
440	"M"	"PhD"	50	"Other"	55	95	"Full"	0	12901
442	"M"	"PhD"	85	"Other"	94	95	"Assist"	0	3934
443	"M"	"PhD"	66	"Other"	69	95	"Full"	0	6590
444	"F"	"PhD"	85	"Other"	90	95	"Assist"	0	4544
446	"M"	"PhD"	75	"Other"	75	95	"Full"	0	6348
447	"M"	"PhD"	84	"Prof"	90	95	"Assist"	0	6048
449	"F"	"PhD"	87	"Arts"	90	95	"Assist"	0	3883
450	"M"	"PhD"	64	"Arts"	67	95	"Full"	0	5631
451	"M"	"PhD"	63	"Other"	63	95	"Full"	0	9025
452	"F"	"PhD"	72	"Other"	91	95	"Full"	0	9556
453	"F"	"PhD"	80	"Prof"	83	95	"Full"	1	7712
454	"M"	"PhD"	61	"Other"	64	95	"Full"	0	10411
455	"M"	"PhD"	87	"Other"	88	95	"Assoc"	0	4610
456	"F"	"PhD"	84	"Other"	86	95	"Assoc"	0	7180
457	"M"	"PhD"	60	"Other"	60	95	"Full"	0	8523
458	"M"	"PhD"	81	"Prof"	92	95	"Assoc"	0	6684
459	"M"	"PhD"	78	"Other"	79	95	"Assoc"	0	9723
461	"M"	"PhD"	77	"Other"	82	95	"Full"	0	6048
462	"M"	"PhD"	83	"Other"	82	95	"Full"	1	7494
463	"M"	"PhD"	72	"Other"	72	95	"Full"	1	9767
464	"F"	"PhD"	90	"Other"	90	95	"Assist"	0	4165
465	"F"	"PhD"	91	"Other"	91	95	"Assist"	0	8676
466	"M"	"PhD"	66	"Other"	79	95	"Full"	0	7712
467	"M"	"PhD"	69	"Other"	72	95	"Full"	0	6127
